Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2013;;;;;;;;;;;;;;;;;;;;;;;;;;;
France métropolitaine - Communes ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mise en ligne le 10/10/2016       Découpage géographique au 01/01/2014;;;;;;;;;;;;;;;;;;;;;;;;;;;
©Insee       Sources : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.;;;;;;;;;;;;;;;;;;;;;;;;;;;
Code géographique;Libellé géographique;Nombre de ménages fiscaux;Nombre de personnes dans les ménages fiscaux;Médiane du niveau vie;Part des ménages fiscaux imposés;Taux de pauvreté-Ensemble;Taux de pauvreté-moins de 30 ans;Taux de pauvreté-30 à 39 ans ;Taux de pauvreté-40 à 49 ans;Taux de pauvreté-50 à 59 ans;Taux de pauvreté-60 à 74 ans;Taux de pauvreté-75 ans ou plus;Taux de pauvreté-propriétaires;Taux de pauvreté-locataires;Part des revenus d'activité;dont part des salaires, traitements ou chômage;dont part des revenus d'activités non salariées;Part des pensions, retraites et rentes;Part des revenus du patrimoine et autres revenus;Part de l'ensemble des prestations sociales;dont part des prestations familiales;dont part des minima sociaux;dont part des prestations logement;Part des impôts;Rapport inter-décile 9e décile/1er decile;1er décile du niveau de vie;9e décile du niveau de vie
CODGEO;LIBGEO;NBMENFISC13;NBPERSMENFISC13;MED13;PIMP13;TP6013;TP60AGE113;TP60AGE213;TP60AGE313;TP60AGE413;TP60AGE513;TP60AGE613;TP60TOL113;TP60TOL213;PRA13;PTSAC13;PBEN13;PPEN13;PPAT13;PPSOC13;PPFAM13;PPMINI13;PPLOGT13;PIMPOT13;RD13;D113;D913
01099;Chazey-sur-Ain;607;1498,0;23512,5;;;;;;;;;;;;;;;;;;;;;;;
01100;Cheignieu-la-Balme;70;137,0;19231,1;;;;;;;;;;;;;;;;;;;;;;;
01101;Chevillard;65;159,0;22004,5;;;;;;;;;;;;;;;;;;;;;;;
01102;Chevroux;359;973,5;20947,3;;;;;;;;;;;;;;;;;;;;;;;
01103;Chevry;508;1281,5;36382,0;;;;;;;;;;;;;;;;;;;;;;;
01104;Chézery-Forens;183;434,5;22047,2;;;;;;;;;;;;;;;;;;;;;;;
01105;Civrieux;548;1492,5;25740,4;;;;;;;;;;;;;;;;;;;;;;;
01106;Cize;71;171,0;19107,5;;;;;;;;;;;;;;;;;;;;;;;
01107;Cleyzieu;60;134,5;21548,0;;;;;;;;;;;;;;;;;;;;;;;
01108;Coligny;492;1095,5;20093,3;;;;;;;;;;;;;;;;;;;;;;;
01109;Collonges;749;1968,5;29177,5;47,1;;;;;;;;;;;;;;;;;;;;;;
01110;Colomieu;64;131,5;20374,6;;;;;;;;;;;;;;;;;;;;;;;
01111;Conand;50;114,5;20130,5;;;;;;;;;;;;;;;;;;;;;;;
01112;Condamine;160;446,0;20757,5;;;;;;;;;;;;;;;;;;;;;;;
01113;Condeissiat;324;806,0;18627,5;;;;;;;;;;;;;;;;;;;;;;;
01114;Confort;198;491,5;23717,1;;;;;;;;;;;;;;;;;;;;;;;
01115;Confrançon;515;1264,0;20365,5;;;;;;;;;;;;;;;;;;;;;;;
01116;Contrevoz;215;507,5;20261,4;;;;;;;;;;;;;;;;;;;;;;;
01117;Conzieu;50;132,5;21791,0;;;;;;;;;;;;;;;;;;;;;;;
01118;Corbonod;427;1028,0;22891,7;;;;;;;;;;;;;;;;;;;;;;;
01119;Corcelles;83;215,0;19077,2;;;;;;;;;;;;;;;;;;;;;;;
01121;Corlier;45;108,5;19117,0;;;;;;;;;;;;;;;;;;;;;;;
01122;Cormaranche-en-Bugey;326;783,5;22682,7;;;;;;;;;;;;;;;;;;;;;;;
01123;Cormoranche-sur-Saône;414;1118,0;21421,2;;;;;;;;;;;;;;;;;;;;;;;
01124;Cormoz;282;652,5;20158,0;;;;;;;;;;;;;;;;;;;;;;;
01125;Corveissiat;251;611,5;21141,0;;;;;;;;;;;;;;;;;;;;;;;
01127;Courmangoux;219;498,0;21944,0;;;;;;;;;;;;;;;;;;;;;;;
01128;Courtes;119;291,0;19762,0;;;;;;;;;;;;;;;;;;;;;;;
01129;Crans;102;246,0;22219,0;;;;;;;;;;;;;;;;;;;;;;;
01130;Cras-sur-Reyssouze;520;1392,5;21047,8;;;;;;;;;;;;;;;;;;;;;;;
01133;Cressin-Rochefort;162;435,0;20142,4;;;;;;;;;;;;;;;;;;;;;;;
01134;Crottet;680;1758,0;21609,5;;;;;;;;;;;;;;;;;;;;;;;
01135;Crozet;678;1832,0;33432,2;;;;;;;;;;;;;;;;;;;;;;;
01136;Cruzilles-lès-Mépillat;322;850,0;21639,3;;;;;;;;;;;;;;;;;;;;;;;
01138;Culoz;1232;2801,5;18818,7;53,8;14,8;;;;;;;;25,2;66,6;64,0;2,6;31,5;9,9;5,4;2,7;1,2;1,6;-13,4;2,8;10956,7;30745,3
01139;Curciat-Dongalon;200;453,0;19302,9;;;;;;;;;;;;;;;;;;;;;;;
01140;Curtafond;279;722,5;21962,8;;;;;;;;;;;;;;;;;;;;;;;
01141;Cuzieu;168;431,0;22701,3;;;;;;;;;;;;;;;;;;;;;;;
01142;Dagneux;1665;4507,0;22105,2;68,3;6,7;;;;;;;;;80,8;77,4;3,4;21,8;8,9;4,2;2,8;0,6;0,8;-15,7;2,6;13531,1;35455,5
01143;Divonne-les-Bains;3556;8256,0;39644,7;69,1;8,1;;;8,9;;;;6,7;10,5;94,3;90,5;3,8;15,3;12,0;0,8;0,4;0,3;0,2;-22,4;6,9;13742,9;94574,7
01144;Dommartin;345;892,5;19726,0;;;;;;;;;;;;;;;;;;;;;;;
01145;Dompierre-sur-Veyle;455;1160,0;20347,5;;;;;;;;;;;;;;;;;;;;;;;
01146;Dompierre-sur-Chalaronne;157;428,0;20858,6;;;;;;;;;;;;;;;;;;;;;;;
01147;Domsure;194;484,0;18516,2;;;;;;;;;;;;;;;;;;;;;;;
01148;Dortan;766;1880,0;21025,3;;;;;;;;;;;;;;;;;;;;;;;
01149;Douvres;414;1068,5;24164,3;;;;;;;;;;;;;;;;;;;;;;;
01150;Drom;83;221,0;21064,5;;;;;;;;;;;;;;;;;;;;;;;
01151;Druillat;465;1146,5;21997,6;;;;;;;;;;;;;;;;;;;;;;;
01152;Échallon;315;794,0;24413,3;;;;;;;;;;;;;;;;;;;;;;;
01153;Échenevex;637;1876,0;42190,5;;;;;;;;;;;;;;;;;;;;;;;
01154;Étrez;299;823,5;19899,0;;;;;;;;;;;;;;;;;;;;;;;
01155;Évosges;66;138,0;19453,7;;;;;;;;;;;;;;;;;;;;;;;
01156;Faramans;281;771,5;23545,2;;;;;;;;;;;;;;;;;;;;;;;
01157;Fareins;828;2148,0;24538,3;71,3;;;;;;;;;;75,6;69,7;5,9;24,6;16,4;2,5;1,8;0,3;0,4;-19,1;2,7;15172,0;40571,3
01158;Farges;329;855,5;32178,3;;;;;;;;;;;;;;;;;;;;;;;
01159;Feillens;1368;3265,0;20792,0;63,4;6,8;;;;;;;;;75,8;70,0;5,8;24,5;12,6;3,1;1,9;0,6;0,7;-16,0;2,6;13166,8;34279,0
01160;Ferney-Voltaire;3277;7022,0;25508,3;46,6;22,1;;20,1;24,5;31,1;19,0;;18,3;24,7;82,8;81,0;1,8;21,1;10,8;2,2;0,8;0,7;0,7;-16,9;10,4;6400,3;66478,7
01162;Flaxieu;;;;;;;;;;;;;;;;;;;;;;;;;;
01163;Foissiat;780;1943,5;20010,7;;;;;;;;;;;;;;;;;;;;;;;
